Scheme	Batch ID	TP name	AA name	Job role	Assessment date	Candidate count	Attended	Passed 	Failed	Not appeared	Result approved on
SDIS-OSDA	1108	Quivan	VET	Asst. Plumber CON 705	23.4.2019	22	20	19	1	2	22.8.2019
SDIS-OSDA	213	Quivan	VET	Asst. Plumber CON 705	23.4.2019	30	20	11	9	10	22.8.2019
SDIS-OSDA	2037	ASMACS	VET	Asst. Plumber CON 705	22.4.2019	30	21	20	1	9	22.8.2019
JSDM	430397	Data Pro	CoCubes	Plumber General-2	18.7.2019	30	30	30	0	0	20.9.2019
NULM	431613	TS Skills	VET	Plumber General	19.8.2019	25	5	5	0	20	23.8.2019
DDUGKY	426534	NAC	SM	Plumber General	20.3.2019	14					13.9.2019
JSDM	430446	Data Pro	VET	Plumber General-2	8.6.2019	30	30	28	2	0	23.8.2019
JSDM	428975	Data Pro	VET	Plumber General-2	5.6.2019	30	30	26	4	0	23.8.2019
NULM	431611	TS Skills	V.Saas	Plumber General	18.8.2019	25	9	8	1	16	7.9.2019
NULM	431612	TS Skills	V.Saas	Plumber General	18.8.2019	25	10	6	4	15	7.9.2019
NULM	431614	TS Skills	VET	Plumber General	19.8.2019	18	3	3	0	15	23.8.2019
DDUGKY	434203	Pipal Tree	SM	Plumber General Assisstant	6.8.2019	30	25	23	2	5	7.9.2019
NULM	419354	Frostees	V.Saas	Plumber General-2	12.2.2019	30					19.9.2019
CSR-RPL (HSIL)	431740	Labournet	VET	Plumber General	30.3.2019	86	45	45	0	41	31.8.2019
CSR-RPL (HSIL)	431681	Labournet	VET	Plumber General	30.3.2019	42	42	42	0	0	31.8.2019
CSR-RPL (HSIL)	432460	Labournet	VET	Plumber General	31.3.2019	27	25	25	0	2	31.8.2019
CSR-RPL (HSIL)	3816	e-Biz	VET	Plumber General	25.4.2019	56	56	56	0	0	23.8.2019
CSR-RPL (HSIL)	3844	e-Biz	VET	Plumber General	14.4.2019	71	70	70	0	1	23.8.2019
CSR-RPL (HSIL)	3849	e-Biz	VET	Plumber General	12.4.2019	51	50	50	0	1	23.8.2019
NULM	423062	SKPVTI	V.Saas	Plumber General	12.7.2019	30	30	27	3	0	6.9.2019
NULM	423065	SKPVTI	V.Saas	Plumber General	14.7.2019	30	30	28	2	0	6.9.2019
JSDM	411706	SGRS	VET	Plumber Pumps & E/M Mechanic (PSC/Q0111)	12.9.2018	25	25	25	0	0	10.9.2019
JSDM	412076	SGRS	VET	Plumber General Helper	18.9.2018	19	19	19	0	0	10.9.2019
CSR-RPL (HSIL)	3867	e-Biz	VET	Plumber General	27.4.2019	28	28	28	0	0	23.8.2019
CSR-RPL (HSIL)	4659	e-Biz	V.Saas	Plumber General	15.5.2019	80	80	80	80	0	7.9.2019
CSR-RPL (HSIL)	4658	e-Biz	VET	Plumber General	25.4.2019	44	44	44	0	0	23.8.2019
SDIS-OSDA	5362	ASMACS	V.Saas	Plumber General Helper	5.8.2019	35	25	23	2	10	7.9.2019
SDIS-OSDA	5993	ASMACS	VET	Plumber General	12.8.2019	30	26	24	2	4	7.9.2019
SDIS-OSDA	6005	ASMACS	VET	Plumber General Helper	6.8.2019	35	27	26	1	8	7.9.2019
CSR-RPL (HSIL)	7110	Labournet	VET	Plumber General	16.7.2019	20	17	17	0	3	23.8.2019
JSDM	7365	SGRS	V.Saas	Plumber General	8.8.2019	28	27	26	1	1	7.9.2019
JSDM	7376	SGRS	CoCubes	Plumber General	15.5.2019	23	23	23	0	0	13.9.2019
NULM	423061	SKPVTI	VET	Plumber General	11.7.2019	30	28	26	2	2	23.8.2019
SDIS-OSDA	2318	Quivan	V.Saas	Asst. Plumber CON 705	19.8.2019	24	23	23	0	1	21.9.2019
NULM	428123	Data Pro	Mettl	Plumber General-2	12.7.2019	30	28	28	0	2	24.9.2019
NULM	428120	Data Pro	Mettl	Plumber General-2	11.7.2019	30	27	22	5	3	24.9.2019
CSR-RPL (HSIL)	9029	Saltlake	VET	Plumber General	4.4.2019	51	48	44	4	3	24.9.2019
NSFDC	11211	Quivan	Mettl	Plumber General	18.5.2019	30	28	20	8	2	27.9.2019
NSFDC	13307	Ideal	V.Saas	Plumber General	22.4.2019	27	27	22	5	0	1.10.2019
CSR-STT	9981	ISBE	VET	Plumber General	30.8.2019	30	25	23	2	5	7.10.2019
CSR-STT	10010	ISBE	VET	Plumber General	3.9.2019	30	24	22	2	6	7.10.2019
CSR-RPL (Watertec)	417407	SGRS	VET	Plumber General	4.12.2018	50	50	28	22	0	7.10.2019
CSR-RPL (HSIL)	12515	Ideal	VET	Plumber General	16.3.2019	26	21	19	2	5	7.10.2019
CSR-STT	6727	SDI	VET	Plumber General	24.8.2019	14	11	11	0	3	7.10.2019
CSR-RPL (HSIL)	7161	Ideal	VET	Plumber General	10.4.2019	47	47	44	3	0	7.10.2019
JSDM	8323	SGRS	VET	Plumber General	25.9.2019	28	27	25	2	1	7.10.2019
CSR-RPL (HSIL)	12980	Ideal	VET	Plumber General	13.4.2019	45	45	41	4	0	7.10.2019
CSR-RPL (HSIL)	13048	Ideal	VET	Plumber General	23.4.2019	30	30	28	2	0	7.10.2019
CSR-STT	13550	ASMACS	VET	Plumber General	24.9.2019	30	30	30	0	0	7.10.2019
APSSDC	425292	NAC	SM	Plumber General	16.3.2019	28	26	26	0	2	7.10.2019
DDUGKY	425298	NAC	SM	Plumber General	19.2.2019	14	13	13	0	1	7.10.2019
NSFDC	11151	Quivan	CoCubes	Plumber General	17.5.2019	30	29	22	7	1	7.10.2019
CSR-RPL (HSIL)	3770	e-Biz	CoCubes	Plumber General	28.3.2019	49	49	45	4	0	7.10.2019
CSR-RPL (HSIL)	3629	e-Biz	CoCubes	Plumber General	29.3.2019	79	79	72	7	0	7.10.2019
JSDM	411400	SGRS	CoCubes	Plumber General	6.9.2018	21	21	21	0	0	7.10.2019
DDUGKY	425539	ASMACS	V.Saas	Plumber General Helper	7.6.2019	35	25	23	2	10	11.10.2019
NULM	428766	Data Pro	VET	Plumber General-2	29.6.2019	30	30	27	3	0	14.10.2019
CSR-RPL (HSIL)	13149	Ideal	V.Saas	Plumber General	6.5.2019	45	45	40	5	0	16.10.2019
Seekho Kamao	419110	LKPVT	V.Saas	Plumber Maintenance & Servicing (PSC/Q0112)	18.2.2019	30	22	20	2	8	17.10.2019
Seekho Kamao	419116	LKPVT	V.Saas	Plumber Maintenance & Servicing (PSC/Q0112)	19.2.2019	30	24	19	5	6	18.10.2019
Seekho Kamao	419107	LKPVT	V.Saas	Plumber Maintenance & Servicing (PSC/Q0112)	20.2.2019	30	28	27	1	2	18.10.2019
CSR-STT	2658	IL & FS	V.Saas	Plumber General	5.8.2019	30	18	5	13	12	24.10.2019
CSR-STT	434319	IL & FS	V.Saas	Plumber General	6.8.2019	30	27	8	19	3	24.10.2019
JSDM	398161	SGRS	Khwaspuria	Plumber General	4.5.2018	18	18	17	1	0	24.10.2019
JSDM	414096	SGRS	Khwaspuria	Plumber General	5.11.2018	29	29	28	1	0	24.10.2019
DDUGKY	424628	ASMACS	Khwaspuria	Plumber General Helper	9.4.2019	35	35	35	0	0	24.10.2019
CSR-STT	7075	ASMACS	Mettl	Plumber General	6.6.2019	30	30	30	0	0	24.10.2019
DDUGKY	423257	NAC	V.Saas	Plumber General	24.3.2019	14	12	10	2	2	25.10.2019
CSR-RPL (HSIL)	432350	Valeur	V.Saas	Plumber General	30.3.2019	50	42	42	0	8	25.10.2019
JSDM	417088	SGRS	Khwaspuria	Plumber General Helper	28.11.2018	16	16	16	0	0	25.10.2019
JSDM	411395	SGRS	Khwaspuria	Plumber General	3.9.2018	24	24	23	1	0	25.10.2019
JSDM	417332	SGRS	Khwaspuria	Plumber General Assisstant	1.1.2019	15	15	15	0	0	25.10.2019
DDUGKY	9266	Pipal Tree	V.Saas	Plumber General Assisstant	28.8.2019	17	14	10	4	3	25.10.2019
NBCFDC	13288	SEET	V.Saas	Plumber General	4.4.2019	30	22	17	5	8	30.10.2019
NBCFDC	13268	SEET	V.Saas	Plumber General	8.6.2019	30	30	28	2	0	30.10.2019
DDUGKY	13252	Pipal Tree	SM	Plumber General Assisstant	30.9.2019	23	23	17	6	0	30.10.2019
CSR-STT	6727	SDI-Vskpm	VET	Plumber General	24.8.2019	14	11	11	0	3	30.10.2019
PDDUSKVP	10039	SDI-Vskpm	VET	Plumber General	12.10.2019	30	18	18	0	12	30.10.2019
NULM	423064	SKPVTI	Mettl	Plumber General	16.7.2019	30	29	25	4	1	31.10.2019
CSR-STT	9998	ISBE	V.Saas	Plumber General	2.7.2019	30	12	4	8	18	6.11.2019
CSR-RPL (Roca)	18700	Labournet	V.Saas	Plumber General	31.8.2019	66	62	62	0	4	13.11.2019
JSDM	10212	SGRS	V.Saas	Plumber General	18.10.2019	17	17	17	0	0	18.11.2019
CSR-RPL (HSIL)	17385	Arambagh	VET	Plumber General	31.3.2019	50	50	45	5	0	18.11.2019
CSR-RPL (Roca)	3720	Amass	VET	Plumber General	15.5.2019	18	18	18	0	0	18.11.2019
APSSDC	21125	NAC	SM	Plumber General	11.11.2019	19	19	14	5	0	19.11.2019
APSSDC	14521	NAC	V.Saas	Plumber General	14.10.2019	23	22	22	0	1	20.11.2019
HPKVN	416858	Labournet	V.Saas	Plumber General	26.4.2019	30	27	5	22	3	20.11.2019
Seekho Kamao	419191	LKPVT	Mettl	Plumber Maintenance & Servicing (PSC/Q0112)	21.2.2019	30	29	29	0	1	22.11.2019
CSR-RPL (Kitec)	12365	Ideal	V.Saas	Plumber General	1.2.2019	35	35	35	0	0	25.11.2019
APSSDC	14519	NAC	V.Saas	Plumber General	15.10.2019	24	24	20	4	0	25.11.2019
State Govt-SC	418455	Saltlake	V.Saas	Plumber General	2.5.2019	25	25	24	1	0	25.11.2019
State Govt-SC	421133	Saltlake	V.Saas	Plumber General	26.3.2019	25	25	24	1	0	25.11.2019
State Govt-SC	421295	Saltlake	V.Saas	Plumber General	2.5.2019	25	25	25	0	0	25.11.2019
SDIS-DDUGKY	10456	ASMACS	Khwaspuria	Plumber General Helper	31.10.2019	35	33	31	2	2	25.11.2019
APSSDC	21006	NAC	Khwaspuria	Plumber General	4.11.2019	20	17	17	0	3	25.11.2019
APSSDC	21127	NAC	Khwaspuria	Plumber General	15.11.2019	23	20	17	3	3	25.11.2019
CSR-STT	5761	SDI-Vskpm	Mettl	Plumber General	8.8.2019	30	30	13	17	0	26.11.2019
SDIS-OSDA	9916	ASMACS	Mettl	Plumber General	11.10.2019	24	24	21	3	0	26.11.2019
SDIS-OSDA	1125	ASMACS	Mettl	Asst. Plumber CON 705	22.4.2019	24	24	24	0	0	28.11.2019
